cell_id,case,policy,agents,dependency_probability,avoidance_probability,edit_length_lines,nominal_overlap_probability,nominal_mu,sync_interval,post_dispatch_wait,wait_in_characteristic_units,observation_horizon,baseline_read_time,repair_clock,base_repair_time,edits_per_agent_time,files,lines_per_file,pooled_dispatches_per_initial_conflict,dispatches_n,dispatches_mean,dispatches_ci95_low,dispatches_ci95_high,initial_conflicts_n,initial_conflicts_mean,initial_conflicts_ci95_low,initial_conflicts_ci95_high,ratio_ci95_low,ratio_ci95_high,ratio_interval_status
ce75450ecc325a3c,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,58.20440451193906,4.0,465.6352360955125,dispatch,context,0.25,1.0,8,256,6.5,30,7.8,7.6544148548691915,7.945585145130808,30,1.2,1.026719017631551,1.3732809823684489,,,not_identifiable_from_aggregate_inputs
fe4b210ca9501577,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,0.0,0.0,465.6352360955125,start,fixed,0.25,1.0,8,256,1.0,30,16.033333333333335,14.6928054107927,17.37386125587397,30,16.033333333333335,14.6928054107927,17.37386125587397,,,not_identifiable_from_aggregate_inputs
74b07ff36fda2c73,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,3.6377752819961913,0.25,465.6352360955125,start,fixed,0.25,1.0,8,256,1.0185931205453982,30,109.56666666666666,105.29036546835319,113.84296786498014,30,107.56666666666666,103.3172974116908,111.81603592164252,,,not_identifiable_from_aggregate_inputs
3ae90918e198ebed,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,7.2755505639923825,0.5,465.6352360955125,start,fixed,0.25,1.0,8,256,1.0242214532871974,30,59.2,58.102464369703604,60.2975356302964,30,57.8,56.698448492290105,58.90155150770989,,,not_identifiable_from_aggregate_inputs
1b1b15e4caa57cd6,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,14.551101127984765,1.0,465.6352360955125,start,fixed,0.25,1.0,8,256,1.0055187637969096,30,30.366666666666667,29.76139789700735,30.971935436325985,30,30.2,29.526258960352163,30.873741039647836,,,not_identifiable_from_aggregate_inputs
06473c6cf3ced5a3,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,29.10220225596953,2.0,465.6352360955125,start,fixed,0.25,1.0,8,256,0.9978540772532188,30,15.5,15.206563758907992,15.793436241092008,30,15.533333333333333,15.160579760508552,15.906086906158114,,,not_identifiable_from_aggregate_inputs
9f094c5249de2977,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,58.20440451193906,4.0,465.6352360955125,start,fixed,0.25,1.0,8,256,0.9915966386554621,30,7.866666666666666,7.742943084014795,7.990390249318538,30,7.933333333333334,7.772382899517224,8.094283767149443,,,not_identifiable_from_aggregate_inputs
6c5bc5697351df14,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,0.0,0.0,465.6352360955125,start,context,0.25,1.0,8,256,1.0020283975659228,30,16.466666666666665,15.023814149264702,17.90951918406863,30,16.433333333333334,14.98757640766339,17.879090259003277,,,not_identifiable_from_aggregate_inputs
13e7b62f2d527842,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,3.6377752819961913,0.25,465.6352360955125,start,context,0.25,1.0,8,256,1.1521386031402274,30,70.93333333333334,68.85537772146282,73.01128894520386,30,61.56666666666667,59.95072802741586,63.18260530591748,,,not_identifiable_from_aggregate_inputs
8efea0537d0d2fba,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,7.2755505639923825,0.5,465.6352360955125,start,context,0.25,1.0,8,256,1.1565143824027073,30,45.56666666666667,44.749121851439874,46.384211481893466,30,39.4,38.510460069835915,40.28953993016408,,,not_identifiable_from_aggregate_inputs
f9fc2ff54eb600f8,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,14.551101127984765,1.0,465.6352360955125,start,context,0.25,1.0,8,256,1.1414141414141414,30,26.366666666666667,25.92107014453437,26.812263188798966,30,23.1,22.43317606452712,23.766823935472882,,,not_identifiable_from_aggregate_inputs
7e48c81e02996431,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,29.10220225596953,2.0,465.6352360955125,start,context,0.25,1.0,8,256,1.155495978552279,30,14.366666666666667,14.062395261301974,14.67093807203136,30,12.433333333333334,11.938885322669885,12.927781343996783,,,not_identifiable_from_aggregate_inputs
a9357651fbbbafe2,0,kick_back,2,0.0,0.0,64,0.06872332143144783,0.06872332143144783,0.5,58.20440451193906,4.0,465.6352360955125,start,context,0.25,1.0,8,256,1.126829268292683,30,7.7,7.533211263094235,7.866788736905765,30,6.833333333333333,6.433710139164116,7.23295652750255,,,not_identifiable_from_aggregate_inputs
